Station ID,Station Name,Daily Trips (Average),Times Greater than Average
641,Central Park Ave & Bloomingdale Ave,2.5056603773584905,0.57x
205,Paulina St & 18th St,2.5028901734104045,0.57x
605,University Library (NU),2.4932432432432434,0.56x
509,Troy St & North Ave,2.4820143884892087,0.56x
246,Ashland Ave & Belle Plaine Ave,2.473684210526316,0.56x
124,Damen Ave & Cullerton St,2.472972972972973,0.56x
460,Clark St & Bryn Mawr Ave,2.4708994708994707,0.56x
504,Campbell Ave & Fullerton Ave,2.460122699386503,0.56x
481,California Ave & Montrose Ave,2.457516339869281,0.56x
345,Lake Park Ave & 56th St,2.4450549450549453,0.55x
250,Ashland Ave & Wellington Ave,2.4404761904761907,0.55x
217,Elizabeth (May) St & Fulton St,2.4296875,0.55x
657,Wood St & Augusta Blvd,2.4242424242424243,0.55x
103,Clinton St & Polk St,2.4125,0.55x
148,State St & 33rd St,2.391304347826087,0.54x
637,Wood St & Chicago Ave (*),2.3833333333333333,0.54x
267,Lake Park Ave & 47th St,2.3821656050955413,0.54x
68,Clinton St & Tilden St,2.360655737704918,0.53x
376,Artesian Ave & Hubbard St,2.355,0.53x
604,Sheridan Rd & Noyes St (NU),2.336898395721925,0.53x
263,Rhodes Ave & 32nd St,2.3360655737704916,0.53x
498,California Ave & Fletcher St,2.3350515463917527,0.53x
28,Larrabee St & Menomonee St,2.3313253012048194,0.53x
146,Loomis St & Jackson Blvd,2.3251533742331287,0.53x
603,Chicago Ave & Sheridan Rd,2.3225806451612905,0.52x
265,Cottage Grove Ave & Oakwood Blvd,2.3191489361702127,0.52x
32,Racine Ave & Congress Pkwy,2.3146067415730336,0.52x
297,Paulina St & Montrose Ave,2.3048780487804876,0.52x
185,Stave St & Armitage Ave,2.2993197278911564,0.52x
191,Canal St & Monroe St (*),2.2972972972972974,0.52x
290,Kedzie Ave & Palmer Ct,2.294736842105263,0.52x
655,Hoyne Ave & Balmoral Ave,2.2892561983471076,0.52x
491,Talman Ave & Addison St,2.2873563218390807,0.52x
233,Sangamon St & Washington Blvd (*),2.2857142857142856,0.52x
502,California Ave & Altgeld St,2.2697368421052633,0.51x
492,Leavitt St & Addison St,2.265151515151515,0.51x
119,Ashland Ave & Lake St (Temp),2.263157894736842,0.51x
354,Sheridan Rd & Greenleaf Ave,2.2598425196850394,0.51x
501,Richmond St & Diversey Ave,2.2526315789473683,0.51x
487,California Ave & Byron St,2.246268656716418,0.51x
135,Halsted St & 21st St,2.235294117647059,0.51x
292,Southport Ave & Clark St,2.2244897959183674,0.5x
328,Ellis Ave & 58th St,2.218905472636816,0.5x
248,Woodlawn Ave & 55th St,2.2037037037037037,0.5x
121,Blackstone Ave & Hyde Park Blvd,2.2012987012987013,0.5x
624,Dearborn St & Van Buren St (*),2.193548387096774,0.5x
636,Orleans St & Hubbard St (*),2.1844660194174756,0.49x
464,Damen Ave & Foster Ave,2.1785714285714284,0.49x
311,Leavitt St & Lawrence Ave,2.1487603305785123,0.49x
315,Elston Ave & Wabansia Ave,2.137142857142857,0.48x
515,Paulina St & Howard St,2.1320754716981134,0.48x
147,Indiana Ave & 26th St,2.1232876712328768,0.48x
261,Hermitage Ave & Polk St,2.113821138211382,0.48x
314,Ravenswood Ave & Berteau Ave,2.097560975609756,0.47x
503,Drake Ave & Fullerton Ave,2.091463414634146,0.47x
137,Morgan Ave & 14th Pl,2.0853658536585367,0.47x
316,Damen Ave & Sunnyside Ave,2.0745341614906834,0.47x
447,Glenwood Ave & Morse Ave,2.0568181818181817,0.46x
330,Lincoln Ave & Addison St,2.0441176470588234,0.46x
418,Ellis Ave & 53rd St,2.0306748466257667,0.46x
272,Indiana Ave & 31st St,2.0258620689655173,0.46x
202,Halsted St & 18th St,2.0163934426229506,0.46x
664,Leavitt St & Belmont Ave (*),2.0129032258064514,0.45x
490,Troy St & Elston Ave,2.0125786163522013,0.45x
493,Western Ave & Roscoe St,2.0084745762711864,0.45x
360,DIVVY Map Frame B/C Station,2.0,0.45x
645,Archer (Damen) Ave & 37th St (*),2.0,0.45x
149,Calumet Ave & 33rd St,1.988888888888889,0.45x
486,Oakley Ave & Irving Park Rd,1.9767441860465116,0.45x
136,Racine Ave & 13th St,1.9746835443037976,0.45x
645,Archer (Damen) Ave & 37th St,1.9722222222222223,0.45x
666,Cherry Ave & Blackhawk St,1.9661016949152543,0.44x
497,Kimball Ave & Belmont Ave,1.9655172413793103,0.44x
170,Clinton St & 18th St,1.963855421686747,0.44x
280,Morgan St & 31st St,1.963768115942029,0.44x
462,Winchester (Ravenswood) Ave & Balmoral Ave,1.948905109489051,0.44x
523,Eastlake Ter & Rogers Ave,1.9421487603305785,0.44x
472,Lincoln Ave & Winona St,1.9416058394160585,0.44x
217,Racine Ave (May St) & Fulton St,1.9375,0.44x
425,Harper Ave & 59th St,1.937062937062937,0.44x
654,Racine Ave & Washington Blvd (*),1.922680412371134,0.43x
450,Warren Park West,1.9215686274509804,0.43x
496,Avers Ave & Belmont Ave,1.912280701754386,0.43x
206,Halsted St & Archer Ave,1.9097744360902256,0.43x
631,Malcolm X College,1.9059829059829059,0.43x
208,Ashland Ave & 21st St,1.9036144578313252,0.43x
597,Chicago Ave & Washington St,1.887218045112782,0.43x
483,Avondale Ave & Irving Park Rd,1.885135135135135,0.43x
658,Leavitt St & Division St (*),1.88135593220339,0.43x
382,Western Ave & Congress Pkwy,1.8776978417266188,0.42x
348,California Ave & 21st St,1.8709677419354838,0.42x
422,DuSable Museum,1.8588235294117648,0.42x
660,Sheridan Rd & Columbia Ave,1.853448275862069,0.42x
625,Chicago Ave & Dempster St,1.8512396694214877,0.42x
169,Canal St & Harrison St,1.8461538461538463,0.42x
19,Loomis St & Taylor St (*),1.8461538461538463,0.42x
432,Clark St & Lunt Ave,1.8407643312101911,0.42x
457,Clark St & Elmdale Ave,1.8387096774193548,0.42x
518,Conservatory Dr & Lake St,1.8375,0.42x
475,Washtenaw Ave & Lawrence Ave,1.8372093023255813,0.42x
520,Greenview Ave & Jarvis Ave,1.8345323741007193,0.41x
278,Wallace St & 35th St,1.8333333333333333,0.41x
499,Kosciuszko Park,1.8229166666666667,0.41x
546,Damen Ave & Pershing Rd,1.8181818181818181,0.41x
179,MLK Jr Dr & Pershing Rd,1.8157894736842106,0.41x
103,Clinton St & Polk St (*),1.8125,0.41x
339,Emerald Ave & 31st St,1.811965811965812,0.41x
644,Western Ave & Fillmore St (*),1.8064516129032258,0.41x
159,Claremont Ave & Hirsch St,1.803921568627451,0.41x
410,Prairie Ave & 43rd St,1.8034188034188035,0.41x
365,Halsted St & North Branch St,1.7941176470588236,0.41x
335,Calumet Ave & 35th St,1.7903225806451613,0.4x
184,State St & 35th St,1.7846153846153847,0.4x
23,Orleans St & Elm St (*),1.7833333333333334,0.4x
643,Smith Park (*),1.781512605042017,0.4x
471,Francisco Ave & Foster Ave,1.7804878048780488,0.4x
653,Cornell Dr & Hayes Dr,1.7741935483870968,0.4x
238,Wolcott (Ravenswood) Ave & Montrose Ave (*),1.7735849056603774,0.4x
252,Greenwood Ave & 47th St,1.7569444444444444,0.4x
351,Cottage Grove Ave & 51st St,1.746031746031746,0.39x
434,Ogden Ave & Roosevelt Rd,1.7444444444444445,0.39x
508,Central Park Ave & North Ave,1.7444444444444445,0.39x
403,Wentworth Ave & 33rd St,1.724770642201835,0.39x
448,Warren Park East,1.71875,0.39x
355,South Shore Dr & 67th St,1.7179487179487178,0.39x
171,May St & Cullerton St,1.704,0.38x
413,Woodlawn Ave & Lake Park Ave,1.6972477064220184,0.38x
485,Sawyer Ave & Irving Park Rd,1.6936936936936937,0.38x
484,Monticello Ave & Irving Park Rd,1.6931818181818181,0.38x
204,Prairie Ave & Garfield Blvd,1.6890756302521008,0.38x
193,State St & 29th St,1.6851851851851851,0.38x
470,Kedzie Ave & Foster Ave,1.6805555555555556,0.38x
478,Rockwell St & Eastwood Ave,1.677685950413223,0.38x
209,Normal Ave & Archer Ave,1.6764705882352942,0.38x
479,Drake Ave & Montrose Ave,1.67,0.38x
9,Leavitt St & Archer Ave,1.6666666666666667,0.38x
578,Bennett Ave & 79th St,1.6666666666666667,0.38x
480,Albany Ave & Montrose Ave,1.6666666666666667,0.38x
560,Marshfield Ave & 59th St,1.6666666666666667,0.38x
476,Kedzie Ave & Leland Ave,1.6607142857142858,0.38x
467,Western Ave & Lunt Ave,1.6588235294117648,0.37x
381,Western Ave & Monroe St,1.6564885496183206,0.37x
482,Campbell Ave & Montrose Ave,1.6526315789473685,0.37x
510,Spaulding Ave & Division St,1.6422764227642277,0.37x
279,Halsted St & 35th St,1.641025641025641,0.37x
259,California Ave & Francis Pl (Temp),1.6363636363636365,0.37x
317,Wood St & Taylor St,1.6333333333333333,0.37x
452,Western Ave & Granville Ave,1.6296296296296295,0.37x
591,Kilbourn Ave & Milwaukee Ave,1.6296296296296295,0.37x
203,Western Ave & 21st St,1.626865671641791,0.37x
533,Central Park Blvd & 5th Ave,1.625,0.37x
455,Maplewood Ave & Peterson Ave,1.625,0.37x
599,Valli Produce - Evanston Plaza,1.6222222222222222,0.37x
585,Cottage Grove Ave & 83rd St,1.6176470588235294,0.37x
415,Calumet Ave & 51st St,1.6111111111111112,0.36x
453,Clark St & Schreiber Ave,1.5948275862068966,0.36x
274,Racine Ave & 15th St,1.588235294117647,0.36x
122,Ogden Ave & Congress Pkwy,1.5822784810126582,0.36x
640,Bernard St & Elston Ave,1.5740740740740742,0.36x
474,Christiana Ave & Lawrence Ave,1.5739130434782609,0.36x
656,Damen Ave & Walnut (Lake) St (*),1.5725806451612903,0.36x
262,Halsted St & 37th St,1.5714285714285714,0.36x
439,Kedzie Ave & 21st St,1.5714285714285714,0.36x
352,Jeffery Blvd & 67th St,1.5533980582524272,0.35x
12,South Shore Dr & 71st St,1.550561797752809,0.35x
466,Ridge Blvd & Touhy Ave,1.5348837209302326,0.35x
336,Cottage Grove Ave & 47th St,1.5346534653465347,0.35x
398,Rainbow Beach,1.5333333333333334,0.35x
602,Central St & Girard Ave,1.5254237288135593,0.34x
95,Stony Island Ave & 64th St,1.5166666666666666,0.34x
281,Western Ave & 24th St,1.5135135135135136,0.34x
373,Kedzie Ave & Chicago Ave,1.507462686567164,0.34x
661,Evanston Civic Center,1.5,0.34x
630,Kildare Ave & Montrose Ave,1.5,0.34x
566,Ashland Ave & 69th St,1.5,0.34x
534,Karlov Ave & Madison St,1.5,0.34x
402,Shields Ave & 31st St,1.4938271604938271,0.34x
500,Central Park Ave & Elbridge Ave,1.4871794871794872,0.34x
468,Budlong Woods Library,1.4742268041237114,0.33x
385,Princeton Ave & Garfield Blvd,1.4736842105263157,0.33x
377,Kedzie Ave & Lake St,1.4722222222222223,0.33x
270,Stony Island Ave & 75th St,1.4705882352941178,0.33x
662,Dodge Ave & Mulford St,1.469387755102041,0.33x
601,Central St Metra,1.462962962962963,0.33x
367,Racine Ave & 35th St,1.4625,0.33x
207,Emerald Ave & 28th St,1.4607843137254901,0.33x
600,Dodge Ave & Church St,1.46,0.33x
200,MLK Jr Dr & 47th St,1.4583333333333333,0.33x
619,Keystone Ave & Fullerton Ave,1.4583333333333333,0.33x
494,Kedzie Ave & Bryn Mawr Ave,1.452991452991453,0.33x
436,Fairfield Ave & Roosevelt Rd,1.4477611940298507,0.33x
428,Dorchester Ave & 63rd St,1.4473684210526316,0.33x
399,South Shore Dr & 74th St,1.4444444444444444,0.33x
593,Halsted St & 59th St,1.4444444444444444,0.33x
554,Damen Ave & 51st St,1.4444444444444444,0.33x
366,Loomis St & Archer Ave,1.4387755102040816,0.33x
532,Austin Blvd & Lake St,1.435897435897436,0.32x
584,Ellis Ave & 83rd St,1.4285714285714286,0.32x
421,MLK Jr Dr & 56th St,1.4285714285714286,0.32x
369,Wood St & 35th St,1.425531914893617,0.32x
427,Cottage Grove Ave & 63rd St,1.4230769230769231,0.32x
589,Milwaukee Ave & Cuyler Ave,1.4193548387096775,0.32x
590,Kilbourn Ave & Irving Park Rd,1.4166666666666667,0.32x
663,Lincolnwood Dr & Central St,1.4130434782608696,0.32x
488,Pulaski Rd & Eddy St (Temp),1.4090909090909092,0.32x
442,California Ave & 23rd Pl,1.40625,0.32x
527,Western Ave & Howard St,1.4059405940594059,0.32x
275,Ashland Ave & 13th St,1.4050632911392404,0.32x
489,Drake Ave & Addison St,1.4049586776859504,0.32x
368,Ashland Ave & Archer Ave,1.4036697247706422,0.32x
384,Halsted St & 51st St,1.4,0.32x
569,Woodlawn Ave & 75th St,1.4,0.32x
525,Glenwood Ave & Touhy Ave,1.3958333333333333,0.32x
401,Shields Ave & 28th Pl,1.390625,0.31x
522,Bosworth Ave & Howard St,1.380952380952381,0.31x
378,California Ave & Lake St,1.380952380952381,0.31x
416,Dorchester Ave & 49th St,1.3773584905660377,0.31x
592,Knox Ave & Montrose Ave,1.3770491803278688,0.31x
646,State St & 54th St,1.375,0.31x
444,Albany Ave & 26th St,1.375,0.31x
550,Central Ave & Chicago Ave,1.375,0.31x
598,Elmwood Ave & Austin St,1.373134328358209,0.31x
495,Keystone Ave & Montrose Ave,1.3709677419354838,0.31x
279,Halsted St & 35th St (*),1.3636363636363635,0.31x
579,Phillips Ave & 79th St,1.3636363636363635,0.31x
469,St. Louis Ave & Balmoral Ave,1.3604651162790697,0.31x
11,Jeffery Blvd & 71st St,1.36,0.31x
441,Kedzie Ave & 24th St,1.3571428571428572,0.31x
445,California Ave & 26th St,1.3461538461538463,0.3x
456,2112 W Peterson Ave,1.3392857142857142,0.3x
517,Clark St & Jarvis Ave,1.338235294117647,0.3x
581,Commercial Ave & 83rd St,1.3333333333333333,0.3x
524,Austin Blvd & Chicago Ave,1.3333333333333333,0.3x
102,Stony Island Ave & 67th St,1.3333333333333333,0.3x
449,Clark St & Columbia Ave,1.3285714285714285,0.3x
201,Indiana Ave & 40th St,1.320754716981132,0.3x
356,Stony Island Ave & 71st St,1.3157894736842106,0.3x
559,Racine Ave & Garfield Blvd,1.3125,0.3x
574,Vernon Ave & 79th St,1.3,0.29x
430,MLK Jr Dr & 63rd St,1.3,0.29x
395,Jeffery Blvd & 76th St,1.2941176470588236,0.29x
477,Manor Ave & Leland Ave,1.293103448275862,0.29x
408,Union Ave & Root St,1.2777777777777777,0.29x
431,Eberhart Ave & 61st St,1.2765957446808511,0.29x
514,Ridge Blvd & Howard St,1.276190476190476,0.29x
443,Millard Ave & 26th St,1.2647058823529411,0.29x
271,Cottage Grove Ave & 43rd St,1.2575757575757576,0.28x
651,Michigan Ave & 71st St,1.25,0.28x
543,Laramie Ave & Gladys Ave,1.25,0.28x
642,Latrobe Ave & Chicago Ave,1.25,0.28x
438,Central Park Ave & Ogden Ave,1.25,0.28x
541,Central Ave & Harrison St,1.25,0.28x
549,Marshfield Ave & 44th St,1.25,0.28x
386,Halsted St & 56th St,1.25,0.28x
582,Phillips Ave & 83rd St,1.2307692307692308,0.28x
595,Wabash Ave & 87th St,1.2307692307692308,0.28x
594,Western Blvd & 48th Pl,1.2222222222222223,0.28x
396,Yates Blvd & 75th St,1.2222222222222223,0.28x
547,Ashland Ave & Pershing Rd,1.2121212121212122,0.27x
540,Laramie Ave & Madison St,1.2105263157894737,0.27x
580,Exchange Ave & 79th St,1.2,0.27x
167,Damen Ave & Coulter St,1.2,0.27x
537,Kenton Ave & Madison St,1.2,0.27x
535,Pulaski Rd & Congress Pkwy,1.2,0.27x
409,Shields Ave & 43rd St,1.2,0.27x
440,Central Park Ave & 24th St,1.2,0.27x
526,Oakley Ave & Touhy Ave,1.1932773109243697,0.27x
586,MLK Jr Dr & 83rd St,1.1785714285714286,0.27x
542,Central Ave & Madison St,1.1764705882352942,0.27x
353,Clark St & Touhy Ave,1.173913043478261,0.27x
528,Pulaski Rd & Lake St,1.1666666666666667,0.26x
576,Greenwood Ave & 79th St,1.1666666666666667,0.26x
429,Cottage Grove Ave & 67th St,1.1666666666666667,0.26x
553,Elizabeth St & 47th St,1.1666666666666667,0.26x
558,Ashland Ave & Garfield Blvd,1.1666666666666667,0.26x
568,Vincennes Ave & 75th St,1.1666666666666667,0.26x
552,Ashland Ave & McDowell Ave,1.1578947368421053,0.26x
544,Austin Blvd & Madison St,1.1578947368421053,0.26x
446,Western Ave & 28th St,1.1538461538461537,0.26x
561,Damen Ave & 59th St,1.1428571428571428,0.26x
571,Vernon Ave & 75th St,1.1333333333333333,0.26x
435,Kedzie Ave & Roosevelt Rd,1.1304347826086956,0.26x
407,State St & Pershing Rd,1.1282051282051282,0.25x
555,Ashland Ave & 50th St,1.125,0.25x
375,Sacramento Blvd & Franklin Blvd,1.125,0.25x
392,Perry Ave & 69th St,1.1176470588235294,0.25x
531,Central Ave & Lake St,1.1153846153846154,0.25x
519,Wolcott Ave & Fargo Ave,1.1153846153846154,0.25x
412,Princeton Ave & 47th St,1.1136363636363635,0.25x
393,Calumet Ave & 71st St,1.1111111111111112,0.25x
530,Laramie Ave & Kinzie St,1.105263157894737,0.25x
573,State St & 79th St,1.1,0.25x
551,Hoyne Ave & 47th St,1.1,0.25x
388,Halsted St & 63rd St,1.1,0.25x
548,Morgan St & Pershing Rd,1.0909090909090908,0.25x
575,Cottage Grove Ave & 78th St,1.0909090909090908,0.25x
539,Cicero Ave & Quincy St,1.0909090909090908,0.25x
391,Halsted St & 69th St,1.0909090909090908,0.25x
556,Throop St & 52nd St,1.0833333333333333,0.24x
529,Cicero Ave & Lake St,1.0833333333333333,0.24x
411,Halsted St & 47th Pl,1.0769230769230769,0.24x
588,South Chicago Ave & 83rd St,1.0625,0.24x
390,Wentworth Ave & 63rd St,1.0571428571428572,0.24x
433,Kedzie Ave & Harrison St,1.0555555555555556,0.24x
583,Stony Island Ave & 82nd St,1.0476190476190477,0.24x
665,South Chicago Ave & Elliot Ave,1.0,0.23x
577,Stony Island Ave & South Chicago Ave,1.0,0.23x
557,Seeley Ave & Garfield Blvd,1.0,0.23x
565,Ashland Ave & 66th St,1.0,0.23x
649,Stewart Ave & 63rd St (*),1.0,0.23x
563,Ashland Ave & 63rd St,1.0,0.23x
652,Rhodes Ave & 71st St,1.0,0.23x
648,Carpenter St & 63rd St,1.0,0.23x
1,Special Events,1.0,0.23x
650,Eggleston Ave & 69th St (*),1.0,0.23x
567,May St & 69th St,1.0,0.23x
587,Wabash Ave & 83rd St,1.0,0.23x
538,Cicero Ave & Flournoy St,1.0,0.23x
669,LBS - BBB La Magie,1.0,0.23x
536,Kostner Ave & Lake St,1.0,0.23x
545,Kostner Ave & Adams St,1.0,0.23x
572,State St & 76th St,1.0,0.23x
400,Cottage Grove Ave & 71st St,1.0,0.23x
570,Evans Ave & 75th St,1.0,0.23x
647,Elizabeth St & 59th St,1.0,0.23x
421,MLK Jr Dr & 56th St (*),1.0,0.23x
